"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,Titel,Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Autographe Funktion,"intere Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,Übergeordnete Quelle zweiter Ordnung/ Untergeordnete Quelle zweiter Ordnung,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung,Tempoangabe,Sprachcode (falls mehrere mit | abtrennen),Text-Incipit,Widmung diplomatisch,Kommentar zur Widmung,Datierung diplomatisch auf Quelle,Datierung auf Quelle maschinenlesbar,Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND Ort,Schrift,Umfang,Papier,Bezug zu Druck: Verlags-GND,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite (S. 89-90)","Hochformat, ??? x ??? mm, 15 Notenzeilen, handrastriert",,,,,,Oberer Rand des Blattes abgeschnitten. ,,"Infoge des Abschneidens des ober zumindest eine Skizze auf der recte-Seite durchtrennt bzw. nur noch teilweise vorhanden ist. Das Blatt enthält mehrere kleine Skizzen, die hauptsächlich der Materialdisposition gedient zu haben scheinen. Die umfangreichste Skizze, sechs Takte, hat Liszt gestrichen (roter Stift).",,,,BV,,,,
,,S 692m ???,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,Kl,,,,,,,,,,,,,Liszt (sepia Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten (S. 91-94)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,Skizze von 18 Takten eines Klavierstücks in G-Dur. ,,,,BV,,,,
,,S 692l ???,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,Kl,Andante moderato,,,,,,,,,,,,Liszt (sepia Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten (S. 95-98)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,Skizze von 10 Takten eines Klavierstücks in F-Dur.,,,,BV,,,,
,,,Darum,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,(Darum),Liszt mit blauem Sitft,Kl,,,,,,,,,,,,,"Liszt (sepia Tinte, blauer Stift)","2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten (S. 99-102)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,Skizze von 14 Takten eines Klavierstücks in E-Dur.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (sepia Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten (S. 99-102)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,,,Kl,Lento,,,,,,,,,,,,Liszt (sepia Tinte),"S. 99, 1 Akkolade",,,,,,,,,Skizze von vier Takten eines Klavierstücks in a-Moll.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,,,Kl,Agitato,,,,,,,,,,,,Liszt (sepia Tinte),"S. 99, 1 Akkolade",,,,,,,,,Skizze von acht Takten eines Klavierstücks.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,"Liszt (sepia Tinte, Bleistift)","2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten (S. 107-110)","Hochformat, ??? x ??? mm, 20 Notenzeilen handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,"Liszt (sepia Tinte, Bleistift)","S. 107, 3 Akkoladen, 1 Notenzeile",,,,,,,,,"Skizze (21 Takte) eines Marschs für Klavier im 6/8-Takt. Zwischen die erste und die zweite Akkolade notiert Liszt eine Notenzeile in Bleistift, die das Material des letzten Takts in der ersten Akkolade sequenziert. Die Tonart ist Es-Dur.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (Bleistift),"S. 107, 1 Akkolade",,,,,,,,,"Eine Skizze von sechs Takten unten auf der Seite. Sie steht in Es-Dur und im 6/8-Takt wie die darüber befindliche Skizze. Inwiefern sie zusammengehören oder unabhängig voneinander sind, ist schwer zu sagen.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 14 Notenzeilen handrastriert",,,,,,oberer Rand bzw. - da Liszt das Blatt zum Beschreiben der zweiten Seite an der horizontalen Achse wendet - unterer Rand abgeschnitten. ,,,,,,,,,,
,,,Sonata,D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,Sonata,Liszt mit schwarzer Tinte,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 183,,,,,,,,,Skizze eines Sonate genannten Stücks von 4 Akkoladen Umfang. Durch waagerechte Wellenlinien ist die Skizze unterteilt in sechs unterschiedlich genau ausgearbeitete Elemente von verschiedener Länge. Zum Teil sind die motivischen Ausgangselemente der Komposition stark modulierend. ,,,,,,,,
,,S 694a,3me Concerto,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,3me Concerto,Liszt mit schwarzer Tinte,Kl (Orchesterpart),,,,,,,,,,,,,Liszt (schwarze Tinte),S. 184,,,,,,,,,"Vermutlich frühe Skizze zum Dritten Klavierkonzert von 11 Takten Länge. Wie der Hinweis ""Orchester"" oberhalb der Noten verrät, handelt es sich um eine Skizze zum Orchesterpart der Komposition. ",,,,,,,,
,,R 674,Die vier Jahreszeiten,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,(Die 4 Jahreszeiten) / Winter. (Streichquartett),Liszt mit schwarzer Tinte,"Vl, Vl, Vla, Vlc",,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 9 Notenzeilen, handrastriert",,,,,,"Das Blatt ist am oberen und unteren Rand stark geknickt, ein- und ausgerissen.",,"es handelt sich um die als Particell angelegte Skizze einer Bearbeitung von Antonio Vivaldis ""Die vier Jahreszeiten"" für Streichquartett. Liszt notiert Abschnitte aus dem ersten Satz, ""Winter"" (97 Takte). Auf der verso Seite schreibt Liszt unten die ersten drei Takte des zweiten Satzes, ""Frühling"". Die Skizze weist mehrere kleinere Streichungen auf (schwarze Tinte).",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"2 Blatt zu 1 Bogen, 3 Seiten Notentext","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert; Querformat, ??? x ??? mm, 10 Notenzeilen, handrastriert",,,,,,"Das erste Blatt ist an unteren Rand abgeschnitten und abgerissen, das zweite abgeschnitten.",,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 187-188,,,,,,,,,"Skizze von 5 Akkoladen und einer Notenzeile auf S. 187 und vier Akkoladen auf S. 188, offenbar zu einem ländlerähnlichen Klavierstück in B-Dur, das mit dem Kontrast zur Medianttonart G-Dur spielt.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze | Fragment,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 189,,,,,,,,,Skizze von drei Akkoladen zu einem ländlerähnlichen Klavierstück das zwischen C-Dur und Es-Dur wechselt.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Fragment,,,,x,,,,,,,,,,,,,,,,,,,,(Liszt) (schwarze Tinte),1 Papierfragment,ca. ??? x ??? mm,,,,,,Das kleine Fragment umfasst au jeder Steite nur einen kleinen Teil einer Notenzeile.,,"Eine Seite des Fragements ist beschrieben (schwarze Tinte), allerdings nicht sinnvoll lesbar.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,"(Liszt) (schwarze Tinte, Bleistift)","1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 32 Notenzeilen",,,,,,,,,,,,BV,,,,
,,,[unlesbar],D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,,S. 193,,,,,,,,,Die unlerserlich betitelte Skizze oben auf der recto-Seite umfasst lediglich eine Akkolade und hat 5 Takte. Vorgezeichnet ist e-Moll.,,,,BV,,,,
,,,St. Stephan,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",S. 193-194,,,,,,,,,"Die mit ""St Stephan"" betitelte Skizze nimmt, abgesehen von der unleserlich betitelten Skizze in e-Moll, die recto- und ie verso-Seite des Blattes ein. Dabei hat Liszt auf der recto-Seite sämtliche Akkoladen der Skizze gestrichen (Bleistift), nur die dreitaktige erste Akkolade der Skizze nicht. Auf der verso-Seitre folgen fünf weitere, nicht gestrichene Akkoladen. Unter der ersten von diesen ist für die letzten vier Takte auch die Notenzeile unter der Akkolade in die Notation einbezogen. Hier notiert Liszt ""Chor"" (T 9, 1. Akkolade) und ""Solo"" (T 11, erste Akkolade). ""St Stephan"" hätte also ein Chorstück werden sollen.",,,,BV,,,,
,,,Rondo espressivo,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,Rondo espressivo,Liszt mit schwarzer Tinte,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert",,,,,,,,"Die Skizze umfasst 12 Akkoladen, sechs auf jeder Seite des Blattes. Die Skizze ist in sechs Abschnitte unterteilt. Der erste nimmt die ersten vier Akkoladen auf der recte-Seite ein und steht in E-Dur, der zweite beginnt darunter und steht in A-Dur. Liszt schreibt in die sechste Akkolade auf der recte-Seite ""la Majeur"", also A-Dur, und ""Debut"", also Anfang. Jedoch tendiert der Abschnitt zum Teil nach fis-Moll. Auf der Verso-Seite steht in den ersten drei Akkoladen ein g-Moll vorgezeichneter Abschnitt, der sich jedoch nach d-Moll entwickelt. Hinter den Doppelstrich mit dem der Abschnitt schließt notiert Liszt ""Fis mol[l]"". Der darauf folgende Abschnitt in der vierten Akkolade ist mit drei Takten kurz und enthält eine Streichung. Erst in mit den beiden letzten Abschnitten in der fünften bzw. sechsten Akkolade wird fis-Moll erkennbar.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext","Querformat, ??? x ??? mm, 9 Notenzeilen, handrastriert",,,,,,Entlang des oberen Rands wurde das Blatt durchtrennt.,,"Die flüchtige, in einer Akkolade Platz findende Skizze umfasst zwei Takte.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Fragment,,,,x,,,,,,,"Singst, Kl",,,,,,,,,,,,,zS (schwarze Tinte),"2 Blatt, 1 Seite Notentext","Querformat, ??? x ??? mm, 9 Notenzeilen, handrastriert",,,,,,,,"Die Skizze oder das Fragment umfasst sechs Takte in einem Notensystem notiert. Von Liszt stammt es nicht: Die Auflösungszeichen im Kl im ersten Takt sind als zwei ineinander geschachtelte rechte Winkel notiert, solche geschlossenen Auflösungszeichen kommen bei Liszt nicht oder nur sehr selten vor. Auf dem Blatt befindet sich eine Notiz von Peter Raabe, ""beim Ankauf von Ms J 62 von [unleserlich] hier als Zugabe erhalten"". Der Kontext, aus dem das Blatt stammt, ist demnach nicht klar. Es handelt sich nicht um eine Skizze, sondern um ein Fragment und gibt den Schluss eines untextierten Liedes wieder.
Auf der Rückseite steht ""Dr. Landshoff [München (?)] 44"". Es könnte [Ludwig Landshoff 116682418] gemeint sein.",,nicht ins LQWV,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 1 Seite Notentext","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 201,,,,,,,,,Skizze a (eine Akkolade) in E-Dur,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 201,,,,,,,,,Skizze b (zwei Akkoladen) in Es-Dur,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze c,,,,,untergeordnete Quelle,,,,,,Kl,Andante,,,,,,,,,,,,Liszt (schwarze Tinte),S. 201,,,,,,,,,Skizze c (eine Akkolade) in A-Dur,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze d,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 201,,,,,,,,,Skizze d (zwei Akkoladen) in G-Dur,,,,BV,,,,
,,,Hymne à la ...,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,hymne à la [unleserlich],Liszt mit schwarzer Tinte,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 203,,,,,,,,,Skizze a (sechs Akkoladen) in fis-Moll,,,,BV,,,,
,,,Pastorale,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,Pastorale,Liszt mit schwarzer Tinte,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 203-204,,,,,,,,,Skizze b (drei Akkoladen) in F-Dur ,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze c,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 204,,,,,,,,,Skizze c (eine Akkolade) in fis-Moll,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"2 Blatt zu 1 Bogen, 2 Seiten Notentext, 2 Leerseiten","Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",S. 205,,,,,,,,,Skizze a (zwei Akkoladen) in D-Dur. Liszt nimmt mit Bleistift Streichungen vor.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 205,,,,,,,,,Skizze b (eine Akkolade) in g-Moll,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze c,,,,,untergeordnete Quelle,,,,,,Kl,Presto,,,,,,,,,,,,Liszt (schwarze Tinte),S. 205,,,,,,,,,Skizze c (drei Akkoladen) in e-Moll. Liszt nimmt Streichungen in der Skizze vor.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze d,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 205,,,,,,,,,"Skizze d (eine Akkolade), C-Dur.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze e,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 205,,,,,,,,,"Skizze e (eine Akkolade, dieselbe wie Skizze d) in e-Moll. Lizst bezeichnet die Skizze mit ""Passage""",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze f,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (Bleistift),S. 205,,,,,,,,,Skizze f (eine Akkolade),,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze g,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (Bleistift),S. 205-206,,,,,,,,,"Skizze g (zwei Akkoladen) in C-Dur, beginnt in derselben Akkolade wie Skizze f",,,,BV,,,,
,,,Polonaise,D-WRgs,GSA 60/Z 18,,,Skizze h,,,,,untergeordnete Quelle,,,,Polonaise,Liszt mit Bleistift,Kl,,,,,,,,,,,,,Liszt (Bleistift),S. 206,,,,,,,,,Skizze h (eine Akkolade) in E-Dur,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze i,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (Bleistift),S. 206,,,,,,,,,"Skizze i (zwei Akkoladen) in G-Dur. Liszt bezeichnet die Skizze mit ""Passage"". Liszt notiert vom Beabsichtigten nur 2 Takte, das übrige ersetzt er durch die Angeabe ""10 mes[ures]""",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze j,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 206,,,,,,,,,Skizze j (eine Akkolade) in fis-Moll,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze k,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 206,,,,,,,,,Skizze k (zwei Akkoladen) beginnt in derselben Akkolade wie Skizze j,,,,BV,,,,
,,,Valse,D-WRgs,GSA 60/Z 18,,,,,,,x,,,,,Valse,Liszt mit schwarzer Tinte,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext (S. 207-208)","Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,,,"Liszt skizzert hier den Anfang einer Valse und die Anfänge ihrer Abschnitte. Den Beginn der fünften Akkolade überschreibt er mit Presto. Insgesamt umfasst die Skizze 11 Notenzeilen, davon befinden sich zwei auf der verso-Seite des Blatts.",,,,,,,,
,,,Miserere - De profundis,D-WRgs,GSA 60/Z 18,,,,,,,x,,,,,Miserere - De profundis,Liszt mit schwarzer Tinte,"Chor, Orch",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","2 Blatt zu 1 Bogen, 4 Seiten Notentext (S. 209-212)","Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert; Hochformat ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,Vom ersten Blatt des Bogens (S. 209-210) ist der obere Rand einschließlich der ersten vier Notenzeilen abgeschnitten worden. ,,"Auf S. 209 skizziert Liszt in den ersten zweieinhalb Akkoladen die Gesangsstimme inklusive ihrer Textierung ""Miserere mei, Deus, secundum magnam, misericordiam tuam"". Nach einem Doppelstrich kennzeichnet Liszt die folgenden Akkoladen mit der Überschrift ""Orchestre"" als Skizzen zum Instrumentenpart der beabsichtigeten Komposition. Die folgende Seite setzt die Skizzen zum Orchester mit einer Akkolade fort. Die übrige Seite ist leer.
Die Skizzen auf S. 211-212 (schwarze Tinte, auf S. 212 auch Bleistift) scheinen das ""De profundis"" zu betreffen, allerdings fehlt der Text.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,,,,,x,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten","Hochformat, ??? x ??? mm, 16 Notenzeilen, handrastriert",,,,,,,,Die Skizze umfasst 6 Akkoladen Notentext. zwei kleine Streichungen hat Liszt vorgenommen.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"2 Blatt zu 1 Bogen, 2 Seiten Notentext, 2 Leerseiten ","Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,,, Beide Skizzena auf dem Blatt könnten für Singstimme(n) und Klavier gedacht sein.,,,,BV,,,,
,,,Que la grande ... [unlesbar],D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,Que la grande ... [unlesbar],Liszt mit schwarzer Tinte,,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 215,,,,,,,,,"Elftaktige Skizze, der letzteTakt ist gestrichen.",,,,BV,,,,
,,,Du sage et de l'enfant,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,Du sage et de l'enfant,Liszt mit schwarzer Tinte,,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 215-216,,,,,,,,,19taktige Skizze,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 217,,,,,,,,,Skizze von zwei Akkoladen.,,,,BV,,,,
,,,Hymne,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,Hymne,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 217,,,,,,,,,Dreitaktige Skizze in E-Dur.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze c,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 217,,,,,,,,,"Der drei Akkoladen füllenden Skizze stellt Liszt eine Erläuterung voran: ""Czerny. - Mayer Coupe de Rondo rentré du motiv des[c]ente variation facile sur [... unlesbar] en place de trait et nuit.""",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze d,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 218,,,,,,,,,Skizze von drei Akkoladen.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,,,,,x,,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"9 Blatt (davon 4 zu 2 Bogen, 5 Einzelblatt)","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert; Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastiert; Querformat, ??? x ??? mm, 16 Notenzeilen, handrastriert",,,,,,"Vom ersten Blatt ist dei obere, von der verso-Seite aus gesehen linke Ecke großflächig ausgerissen. Ähnliches gilt für das fünfte Blatt, dessen unterer Rand großflächig abgerissen ist.",,Bei diesen Manuskripten handelt e sich um frühe Kontrapunktübungen Liszts.,,,,BV,,,,
,,,Trio,D-WRgs,GSA 60/Z 18,,,,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze a,,,,,untergeordnete Quelle,,,,Trio,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 237,,,,,,,,,Skizze von drei Akkoladen in A-Dur. ,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze b,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 237,,,,,,,,,Skizze von drei Akkoladen in f-Moll. ,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,,,"31taktige Skizze in d-Moll, vier Akkoladen auf S. 239 und drei Akkoladen auf S. 24.. Liszt stellt der Skizze eine Frage voran: ""Qu'est-ce que le beau ein Musique? Ce qui nous elève au dessus de de la chair."" ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,,,,,x,,,,,,,Kl,,,,á Charles Marie [Weber 118629662],,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,,,,,21taktige Skizze in g-Moll.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","7 Blatt, 9 Seiten Notentext, 5 Leerseiten ","Hochformat, ??? x ??? mm, 18 Notenzeilen, handrastriert; Hochformat, ??? x ??? mm, 16 Notenzeilen, handrastriert; Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert; Querformat, ??? x ??? mm, 4 Notenzeilen, handrastriert; Querformat ??? x ??? mm, 4 Notenzeilen, handrastriert",,,,,,,,"Die Seiten 243 bis 256 enthalten Skizzen aus Liszts Jugend, die er aber nicht für Kompositionen nutzte (vgl. Howard; Short: MS GSA 60/Z 18. Revised description - December, 2016, zu S. 243).
- S. 243: 5 Skizzen, die Skizze in der siebten Akkolade ist mit Prestissimo bezeichnet
- S. 244: Zwei möglicherweise zusammenhängende Skizzen, drei und vier Akkoladen, überschrieben sind sie oben auf der Seite mit ""Allegro molto ou largo"".
- S. 245: Eine Akkolade Skizzen von Sechzehntelfigurationen.
- S. 247: Drei Skizzen: obere Skizze auf drei Akkoladen, mittlere Skizze auf einer Akkolade, untere Skizze auf einer Akkolade.Die mittlere Skizze ist ""sol mineur"" überschrieben.
- S. 249: Skizze in cis-Moll auf neun Akkoladen. In der fünften Akkolade schreibt Liszt hinter den Notentext ""romantique [... unlesbar]"".
- S. 250: enthält drei Skizzen: obere Skizze auf drei Akkoladen, mittlere Skizze auf einer Akkolade, untere Skizze auf drei Akkoladen. Die Seite ist vollständig durchgestrichen.
- S. 251: eine Skizze in Bleistift, auf fünf Notenzeilen und drei Akkoladen, letztere sind zum Großteil gestrichen und kaum lesbar
- S. 253: das abgeschnittene kleine Blatt enthält auf der Vorderseite eine Skizze in E-Dur
- S. 255: Skizze mit vier vorgezeichneten Bs.",,,,BV,,,,
