"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,nicht eingetragen,R 500 | S 44 | J31,Ave verum corpus,D-WRgs,GSA 60/C 28,,,Partitur,Korrekturabzug,,,,Zwölf | Kirchen-Chor-Gesänge | mit Orgelbegleitung | von | FRANZ LISZT.,,,C. F. Kahnt Nachfolger,5274010-9,Leipzig ,4035206-7,1440/6,,,60 Pf.,,"Titelseite, S. 2-3",,V | Ave Verum.,"GCh (SSTB), Org ad lib.",Lento,,Lateinisch,Ave verum corpus Christi,,,,,,,,,"Dr? (Bleistift, roter Stift)","2 Blatt zu 1 Bogen (1 Titelseite, 2 Seiten Notentext, paginiert)","Hochformat, 270 x 169 mm, 12 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Leichtere Korrekturen wie Vorzeichen und Phrasierungsbögen, leichte Textkorrekturen (Bleistift).","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970",Die Stücke der Sammlung wurden auch als Einzeldrucke vertrieben. Die Seitennummerierung erfolgt für jedes Stück separat.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191226,BV,,,,,23
,,R 465,Benedictus aus der Ungarischen Krönungsmesse,D-WRgs,GSA 60/P 18a,,,Stimme,,,x,,Aus der | Ungarischen Krönungs Messe | Benedictus  Offertorium | von | Franz Liszt. ,,,J. Schuberth & Co.,5330993-5,Leipzig,4035206-7,4823,,,1/2 rf.,x,"Titelseite, S. 2-3",,"BENEDICTUS | aus der ungarischen ""Krönungsmesse."" ",Solo-Vl,Adagio molto,,,,,,,,,,,,zS (schwarze Tinte),"2 Blatt (1 Titelseite, 2 Seiten Notentext, 1 Leerseite)","Hochformat, ??? x ??? mm, 8-9 Notenzeilen",,,,,,,,,,"Die Solo-Violin-Stimme weist auf dem verso-Notenblatt eine Überklebung auf (??x?? mm, 10 Notenzeilen, handrastriert)",,"Der Druck selbst weist keine Eintragungen auf, es ist allerdings eine Überklebung (mit fünf beschriebenen Notenzeilen) am Ende angefügt. Hierbei dürfte es sich um eine später ergänzte Variante handeln, deren Einsatz auch mit einer Bleistiftmarkierung (Einsatz beim Fortissimo-Tremolo auf dem fis3) versehen ist. Ob die Variante von Liszt authorisiert ist, lässt sich aus der Quelle nicht ermitteln (auf der Rückseite des eingeklebten Blattes befindet sich eine weitere Abschrift mit schwarzer Tinte sowie Eintragung/Korrektur der Solo-Violine mit Bleistift. Hierbei handelt es sich um vier Takte, Druck, S. 4, 3. System, T. 5/6 bis 4. System, T. 1/2). ",,[bitte im Original prüfen],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:202682,DTie,,,,,25
,,R 465,Benedictus aus der Ungarischen Krönungsmesse,D-WRgs,GSA 60/P 18a,,,Partitur,,,x,,,,,J. Schuberth & Co.,5330993-5,Leipzig,4035206-7,4823,Stich und Schnellpressendruck von F. W. Garbrecht in Leipzig,,,,S. 2-7,,"BENEDICTUS | aus der ungarischen ""Krönungs Messe."" ","Solo-Vl, Kl",Adagio molto,,,,,,,,,,,,"zS (roter Stift, Bleistift)","4 Blatt (6 Seiten Notentext, 2 Leerseiten)","Hochformat, ??? x ??? mm, 9-12 Notenzeilen",,,,,,,,,,,,"In dem Druck der Klavier-Fassung sind lediglich die Abschnittsbuchstaben (A-D) mit Bleistift nachgetragen, ansonsten finden sich in der Klavierstimme im viertletzten Takt vier Streichungen mit rotem Stift in der rechten Hand im Klavier (ob dies von Liszt stammt, ist unmöglich zu sagen). ",,[bitte im Original prüfen],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:202682,DTie,,1846,Angabe Gmf,,26
,,R 444,Benedictus aus der Ungarischen Krönungsmesse,D-WRgs,GSA 60/P 18a,,,,,,x,,Aus der | Ungarischen Krönungs Messe | Benedictus [Stefanskrone] Offertorium | von | Franz Liszt. [...] | Benedictus | [...] VII für Violine u. Orchester,,,J. Schuberth & Co.,5330993-5,Leipzig,4035206-7,,,,"M. 3,00.",x,Titelseite ,,,,,,,,,,,,,,,,,"1 Blatt (1 Titelseite, 1 Leerseite)","Hochformat, ??? x ??? mm",,,,,,,,,,,,"Nur Titelblatt, Rückseite leer, Ausgabe ist mit blauem Stift angemarkert.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:202682,DTie,,[1846],,,27
,1001299560,R 57a | S 174 | A186,Berceuse,D-WRgs,GSA 60/I 36,Ms I 36|a,Liszt-Museum Weimar,Partitur,korrigierter Druck,,,1001299551,,,,Carl Haslinger quondam Tobias ,2092125-1,Wien ,4066009-6,11650,,,,,S. 21-25,Plattendruck,FRANZ LISZT. | BERCEUSE.,Kl,Lento,,,,,,,,,,,sepia Tinte,,"3 Blatt zu 1 Bogen und 1 Einzelblatt (5 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 339 x 266 mm, 9-12 Notenzeilen",,,,,,,,,,,Dem korrigierten Druck liegt ein weiteres Exemplar ohne Eintragungen bei. Weiterhin enthält die Quelle das Autograph der 2. Fassung.,"Liszts Korrekturen mit brauner Tinte beginnen auf S. 23 und belaufen sich vorwiegend auf Hinzufügungen virtuoser Ausschmückungen und Spielfiguren. Auf der Schlussseite S. 25 notiert er unter dem Ende des Stückes noch einmal mit freien Notenlinien gezogen, 8 zusätzliche Takte und intensiviert die harmonische Dichte der linken Hand.",,hier im Digitalisat [S. 1-12],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192243,DTie,,,,,28
,,R 625,Bist du!,D-WRgs,GSA 60/Dep. H 13,,,Partitur,korrigierter Druck,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2204,,,,,S. 11-15,Plattendruck,Bist du!,"Singst, Kl",Andante,,Deutsch,Mild wie ein Lufthauch,,,,,,,,,,S. 11-15 (von 32 Blatt),,,,,,,,,,,,,"Die Stimmbezeichnung ""Singstimme"" ergänzt Liszt mit dem Zusatz ""(Tenor)"" (rote Tinte). In diesem Lied finden sich im Vergleich zu den übrigen größeren Korrekturen. Der siebte Takt auf Seite 13 ist schon im Manuskript fehlerhaft, wie Liszt auf dem rechten Rand der Seite anmerkt (rote Tinte) und wurde so in den Stich übernommen. Fehlerhaft sind ebenso der dreizehnte, der siebzehnte und der zwanzigste Takt aus dem Manuskript übernommen oder fehlerhaft abgeschrieben worden zu sein. Liszt notiert diese Takte auf dem Seitenrand neu (rote Tinte). Am Ende des Liedes ergänzt der den Namen des russischen Textdichters, [Fürst Elim Metschersky 118967231] (rote und schwarze Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210999,BV,,,,,29
,,R 625,Bist du!,D-WRgs,GSA 60/D 99,,,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 11-15,Plattendruck,"Son coeur, ses yeux. | Bist Du!","T, Kl",Andante,,Französisch | Deutsch,Doux comme l'haleine | Mild wie ein Lufthauch,,,,,,,,,"zS (Bleistift), zS (rote Tinte)",S. 11-15 (von 36 Blatt),,,,,,,,,,,,,"Auf S. 11 und S. 12 ist mit dunkelroter Tinte in der Singstimme eine Note gestrichen. Auf S. 11, S. 12 und S. 13 sind mit dunkelroter Tinte je ein Bindebogen nachgetragen. Am Ende des 3. Systems auf S. 11 ist mit Bleistift ein Notenhals ergänzt. Auf der Rückseite von S. 15 steht mit Bleistift: ""Herrn W. Bernicke | hier"". ",Vgl. GSA 60/D 102,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,30
,,-,Bonjour,F-Pn,Ms. 169,,Charles Malherbe Conservatoire Nal de Musique Paris,Partitur,korrigierter Druck,,x,,"BONJOUR | AUBADE | [Szene: Frau am offenen Fenster, Liebhaber im Kostüm des 18 Jh. schaut zu ihr hinauf] | N°1_Baryton | N°2_Ténor | Poesie de | EUGÈNE BERTIN | Musique de | Henri MARÉCHAL ",https://gallica.bnf.fr/ark:/12148/btv1b10861847w,à M.elle [SARAH BERNHARDT 118509896],Colombier,,Paris,4044660-8,C. 3445,,,3f,,"Titelseite, S. 1-3",Plattendruck,BONJOUR ! | AUBADE.,"S/T, Kl",Allegretto ,[Viertel] = 92,Französisch,"Au premier cri de l'alouette, J'ai quitté ma chambrette","Auf dem oberen Rand der Titelseite mit Bleistift Hinweis ""annoté par Liszt | Janvier 1876"". ",,,Janvier 1876,1876-01-xx,,,sepia Tinte,,"3 Blatt  (1 Titelseite, 3 Seiten Notentext, 2 Leerseite, paginiert)",,,,,,,,,,,,,"Druck mit einigen ""Annotationen"" (Korrekturen/Verbesserungen) von Liszt mit schwarzbrauner Tinte. Leichte Modifikationen von Tonhöhen (des2-g1-as1-b1-c2) und Rhythmik, dazu auf S. 1 Hinweis, ""NB l'ut | me parait | un peu | bourgeois là: | il ne faut | pas non plus | d'accompagnement | excepte le simple | re b pour | guider le chanteur | FLiszt"". S. 2, vorletztes System, letzter Takt: hier trägt Liszt die auf S. 1 bereits vorgeschlagene Tonkonfiguration nach (also Wiederholung der Korrektur). Selbiges auf S. 3, 4. System, letzter Takt.",Liszt korrigierte hier eine fremde Komposition.,"Fällt wohl unter Curiosa / Paedagogica
Zur Kopftitel: Poésie de EUGÈNE BERTIN; Musique de HENRI MARÉCHAL",https://gallica.bnf.fr/ark:/12148/btv1b10861847w,DTie,,1886,"Erschlossen aus: Hofmeister XIX <http://www.hofmeister.rhul.ac.uk>, November 1886, S. 433.",,31
,,R 481,Cantantibus Organis,D-LEsta,"21069 C. F. Kahnt, Nr. 111/6",,W. Benicke Leipzig,Partitur,korrigierter Druck,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2427,,,,,,Plattendruck,CANTANTIBUS ORGANIS. | Antifona per la festa di Sta Caecilia. | Antiphona in festo S. Caeciliae.,"A, GCh (SSATB), Harm, Kl",,,Lateinisch,Cantantibus organis,Revision.,"CANTANTIBUS ORGANIS. | Antifona per la festa di Sta Caecilia. | Antiphona in festo S. Caeciliae. 
Der gedruckte italienische Untertitel (Antifona per la festa di Sta Caecilia.) ist von Liszt mit roter Tinte gestrichen und durch die lateinische Version ersetzt.",,22ten November ,xxxx-11-22,,,"rote Tinte, blauer Stift",,"8 Blatt zu 4 Bogen (13 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 306 x 234 mm, 18 Notenzeilen",,,,,,,,,,,,"Liszt korrigiert sehr deutlich, sowohl in den Noten als auch mit Hilfslinien am Seitenrand (bspw. S. 4), darüber hinaus korrigiert er den falschen Druck des Namens der Heiligen. Im Druck Coecilia, Liszt notiert auf S. 5: ""Caecilia [unterstrichen] | überall mit | a nicht | mit o | stechen."" [die Vokale sind ebenfalls unterstrichen]. S. 6: Zusatz mit hellroter Tinte ""halbe Note Gis"" [zweimal bei Analogstelle] und mit dunkelroter Tinte ""Viertel Note Gis"" [ebenfalls zweimal]. S. 8 erneut Cae- statt Coecilia. Zudem: ""NB. der | altmodische | Strich nach oben | für das A [mit dunkelroter Tinte überschrieben] | nimmt sich hier | schlecht aus; | besser nach | unten streichen"". Weitere Notenkorrekturen am Seitenrand. Beide, Cae-Silbe und Strichrichtung wiederholen sich in den Anmerkungen auf S. 10/11. S. 14 Tonhaltebogen auf b ergänzt.

Titel: ""Revision"" ist mit blauem Stift geschrieben, darunter Bleistifthinweis von Kahnt: ""NB. Ich reise diesen Donnerstag nach Weimar und | brauche deshalb bis morgen Abend in Exempl-Form | den corrigirten Abzug! CfKahnt | 3/8"".
Text von Liszt quer zum oberen Rand: ""Antifona per la festa | di Sta Caecilia | war der italienische Titel | für die italienische | Ausgabe. | In der deutschen, | setzen wir | lateinisch: | ""Antiphona | ""in Festo | ""S. Caeciliae. | X [Verweiszeichen) | F.Liszt [Unterschrift] | X | auf deutsch | übersetzt | heisst es: | ""Antiphona | (Chorgesang) | am Feste | der heiligen | Caecilia."" 

Datierung: das Jahr wird vom Archiv mit 1870-72 angegeben.
Quelle war längs und mittig zusammengefaltet.","Hier ist im Original schön zu sehen, dass Liszt den ersten Korrekturdurchgang mit der helleren roten Tinte, einen weiteren mit dunkelroter Tinte machte (überschreibt einige Worte auf S. 8)","Ganz am Ende Verweis mit blauem Stift: ""Herrn Brange"" (der tauchte schon einmal auf)",wird bestellt,DTie,,,,,32
,,R 539c,"Chöre zu Herders ""Entfesseltem Prometheus""",D-WRgs,GSA 60/B 16e,,,Partitur / Klavierauszug,,x,,,"CHÖRE | zu | HERDER'S| ""Entfesseltem Prometheus"" | von | FRANZ LISZT. | Verbindender Text von [Richard Pohl 116260564]. ",,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,830,Lith. Inst. Friedr. Krätzschmer,,,,"Titelseite, Vorwort, S. 5-186",Lithographie,,"FCh (SSAA), MCh (TTBB), GCh (SATB), Orch (Picc, 2 Fl, 2 Ob, EHr, 2 Klar in A, 2 Klar in B, 2 Fg, 4 Hr in G, 4 Hr in D, 2 Hr in A, 4 Hr in E, 4 Hr in F, Trp in F, Trp in D, Trp in E, Apos, Tpos, Bpos, Tb, Hrf, Trg, Bck, grTr, Pk, Vl, Vla, Vlc, Kb) | FCh (SSAA), MCh (TTBB), GCh (SATB), Kl",,,,,,,,,,,,"schwarze Tinte, roter Sift","zS (schwarze Tinte), Dr (Bleistift)","94 Blatt (1 Titelseite, ?? Seiten Notentext, 1 Leerseite)","Hochformat, ??? x ??? mm",,"1975-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Der lithographische Druck diente als Stichvorlage für den Druck der revidierten Version der zweiten Fassung des ""Prometheus"". Auf Seite 3 des Drucks ist die Plattennummer der Lithographie - 830 - gestrichen und durch die Nummer des späteren Drucks - 1951 - ersetzt (blauer Stift). Das Ausmaß der Überarbeitungen variiert von Chor zu Chor. Durchweg neu hinzugefügt ist die Pedalisierung im Klavierauszug (violette Tinte, Bleistift).","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1975",Bitte die Angaben zum Prolog in die Beschreibung einarbeiten. ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190806,BV,,,,,33
,,R 539c,"Chöre zu Herders ""Entfesseltem Prometheus"". Chor der Dryaden",D-WRgs,GSA 60/B 16e,,,Partitur / Klavierauszug,,,x,,,,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,830,,,,,,,No. 3. Chor der Dryaden,"FCh (SSAA), Orch (Fl, Ob, Klar in A, EHr, Fg, 4 Hr in F, Trp in F, 4 Pos, Tb, Trg, Bck, grTr, Pk, Vl, Vla, Vlc, Kb) | FCh (SSAA), Kl",Non troppo Allegro ma molto agitato,,Deutsch,Friede! Weh dir! Weh! Prometheus weh!,,,,,,,,,,,,,,,,,,,,,,,"Substantielle Änderungen am ""Chor der Dryaden"" hat Liszt nicht vorgenommen.
- S. 68: In Takt 6-8 sind Oboen und Klarinetten hinzukomponiert (Bleistift, schwarze Tinte). Im Klavierauszug sind die Takte 1-5 überklebt und die Takte 6-9 mittels Rasuren und mit Bleistift eingetragene Noten leicht verändert.
- S. 69: In Takt 5-7 sind Oboen und Klarinetten hinzukomponiert (Bleistift). Mittels Rasuren und Bleistifteintragungen ist der Notentext der zweiten Violine in Takt 1-4 modifiziert.
- S. 70: Die Holzbläser sind vollständig überklebt und neu notiert. In den Bratschen ist Notentext in den Takten 1-3 und in Takt 7-9 hinzugekommen, gleiches gilt für die Violoncelli in Takt 4-6 (Bleistift). Strukturell hat sich nichts verändert, lediglich eine Klangverdichtung scheint beabsichtigt. ",,[Prolog (gesprochen)]: Kaum sind verhallt des Meeres Feierklänge,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190806,BV,,,,,34
,,R 539c,"Chöre zu Herders ""Entfesseltem Prometheus"". Chor der Oceaniden",D-WRgs,GSA 60/B 16e,,,Partitur / Klavierauszug,,,x,,,,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,830,,,,,,,No. 1. Chor der Oceaniden,"FCh (SSAA), Orch (2 Fl, 2 Ob, 2 Klar in A, 2 Fg, Hr in G, Hr in F, Vl, Vla, Vlc, Kb) | FCh (SSAA), Kl",Allegro agitato,,Deutsch,Weh dir! Weh dir Prometheus!,,,,,,,,,,,,,,,,,,,,,,,"Die Änderungen halten sich in engen Grenzen, betroffen ist hauptsächlich der Klavierauszug.
- S. 6-7: Von Liszts Hand stammt die unterhalb des Kontrabasses notierte Anweisung, ""Auf einer dritten Zeile in kleinen Noten die Flöten einfügen"" (schwarze Tinte). Die Flötenstimmen sollen also als Ossiavariante in den Klavierauszug integriert werden. Dieser Anweisung leistet die später von zS hinzugekommene Überklebung des Klavierauszugs auf den beiden Seiten Folge.
- S. 8-12: Vom letzten Takt auf Seite 8 bis zu Takt 33 auf Seite 12 ist der Klavierauszug mittels Überklebung neu gestaltet.
- S. 10-14: Zur Komposition wurde von ZS der Kontrabass hinzugefügt, der zuvor in dieser Passage schwieg.",,[Prolog (gesprochen)]: Zum fernen Saum der Erde folgt des Dichters Blick erwähnen. ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190806,BV,,,,,35
,,R 539c,"Chöre zu Herders ""Entfesseltem Prometheus"". Chor der Schnitter",D-WRgs,GSA 60/B 16e,,,Partitur / Klavierauszug,,,x,,,,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,830,,,,,,,No. 4 Chor der Schnitter,"MCh (TTBB), Orch (Fl, Ob, Klar in A, EHr, Fg, 2 Hr in D, 2 Hr in A, Vl, Vla, Vlc, Kb) | MCh (TTBB), Kl",Quasi Allegretto,,Deutsch,Ährenbekränzte Göttin Mutter der Sterblichen,,,,,,,,,,,,,,,,,,,,,,,"Tiefgreifende Veränderungen hat Liszt am ""Chor der Schnitter"" nicht vorgenommen.
- S. 77-80: Liszt streicht von Takt 5 auf Seite 77 bis Takt 1 auf Seite 80 das dritte und vierte Horn (roter Stift, schwarze Tinte) und notiert sie statt in eine Notenzeile anschließend neu auf zwei Notenzeilen verteilt. Dazu weist an, die beiden Hörner auch in dieser Weise die Korrektur vorzunehmen und beim Notenstich zu verfahren. Liszt schreibt die Höner neu in den Notenzeilen der ersten und zweiten Violine. Wo die Violinen selbst zu spielen haben weicht er in die leeren, dem Chor vorbehaltenen Notenzeilen aus (schwarze Tinte). Die letzten vier Takte der Streichung nimmt er ersatzlos vor. Auf Seite 79 von Takt 6 bis Seite 80 bis Takt 1 fügt Liszt eine Passage für das Englisch Horn ein, die er sowohl in die entsprechende Notenzeile schreibt (schwarze Tinte), aber auch auf Seite 79 auf dem rechten Seitenrand notiert (roter Stift, schwarze Tinte).
- S. 82-86 und S. 88: Von Seite 82, letzter Takt, bis auf Seite 86, Takt 7, und auf Seite 88 ab Takt 3 möchte Liszt zwei Violinen solo auf zwei zusätzlichen Notenzeilen hinzufügen (roter Stift). Dazu verweist er auf ein Korrekturblatt (blauer Stift), das allerdings nicht in der Signatur enthalten ist.
- S. 100: Liszt schreibt senkrecht auf dem linken Seitenrand, die Hörner 3 und 4 eine Oktave höher zu stechen und gibt ein Notationsbeispiel (schwarze Tinte). Die Hörner 3 und 4 sind zusätzlich gestrichen (roter Stift).
- S. 101 und 102: Beide Seiten sind vollständig überklebt. Der neu notierte Notentext unterscheidet sich weniger substantiell als durch eine größere Klangdichte vom überklebten Notentext.
- S. 103: Fagott und tiefe Streicher sind vollständig überklebt und teilweise verändert neu geschrieben (schwarze Tinte).
- S. 104: In Takt 2-4 ist das Fagott überklebt und in verändert neu notiert, ebenso Violoncello und Kontrabass in Takt 1-4 (schwarze Tinte).",,[Prolog (gesprochen)]: Auch Gäa's Klagen müssen bald verstummen,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190806,BV,,,,,36
,,R 539c,"Chöre zu Herders ""Entfesseltem Prometheus"". Chor der Tritonen",D-WRgs,GSA 60/B 16e,,,Partitur / Klavierauszug,,,x,,,,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,830,,,,,,,No. 2. Chor der Tritonen,"Orch (Picc, Fl, Ob, Klar in B, Fg, 4 Hr in F, Trp in F, Apos, Tpos, Bpos, Tb, Hrf, Vl, Vla, Vlc, Kb) | MCh (TTBB), Kl","Allegro moderato | Ruhig, aber nicht schleppend",,Deutsch,Friede! Auf unbefehdet offnem Meer,,,,,,,,,,,,,,,,,,,,,,,"Am ""Chor der Tritonen"" sind erhebliche Modifikationen vorgenommen worden. 
- S. 19: Eine kleine Ergänzung und Vorzeichenkorrektur ist von zS in den Klarinetten in Takt 4-5 (violette Tinte) vorgenommen worden. 
- S. 21: Eine Wiederholung der Zeile ""auf unbefehdet offnem Meer"" ist im Chor hinzugefügt worden (violette Tinte).
- S. 23: Die Chorstimmen sind um den dritten, zuvor leeren Takt ergänzt worden (violette Tinte).
- S. 24: Die Seite ist vollständig überklebt.
- S. 25: Der erste Takt ist ersatzlos vollständig überklebt, der Chor ist vollständig überklebt und neukomponiert.
- S. 26: Der Chor ist vollständig überklebt und neukomponiert.
- S. 27: Auf der Seite ist der zweite Takt gestrichen und die Takte 3-7 vollständig überklebt und durch drei neu komponierte Takte ersetzt.
- S. 28: Takt 1-3 sind vollständig und ersatzlos überklebt.
- S. 30: Takt 2-4 sind überklebt, dabei ist Takt 2 verändert worden, um einen Anschluss an Takt 5 zu schaffen, während Takt 3-4 ersatzlos entfallen.
- S. 31: Die Notenzeilen für den Chor sind vollständig überklebt und partiell umgearbeitet.
- S. 32 Die Takte 5-6 sind vollständig und ersatzlos überklebt. Auf dieser Überklebung notiert Liszt einen veränderten Takt 4 für die Bassstimmen, dieser autographe Eintrag ist gestrichen und durch eine entsprechende Überklebung von Takt 4 im Chor ersetzt.
- S. 33: Takt 1 ist vollständig und ersatzlos überklebt. In der ersten Violine nimmt Liszt in Takt 3 (nun Takt 2) eine Notenkorrektur vor und notiert die Korrektur außerdem an den rechten Seitenrand.
- S. 38-40: Von Seite 38, Takt 1 bis Takt 1 auf Seite 40 ist der Notentext für die Harfe durch auf Überklebungen notierte Leertakte ersetzt. Auf Seite 38 sind in Takt 3 die Flöten überklebt und auf der Überklebung leicht verändert neu notiert.
- S. 48: Der Beginn des Chors ist von Takt 4 auf Takt 2 verlegt, um so das erste Wort der Textzeile, ""Heilig"", durch Wiederholung zu betonen, in Violinen und Bratschen ist Takt 3 leicht verändert (Bleistift).",,[Prolog (gesprochen)]: Dem Sang der Töchter des Okeanos ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190806,BV,,,,,37
,,R 539c,"Chöre zu Herders ""Entfesseltem Prometheus"". Chor der Unsichtbaren",D-WRgs,GSA 60/B 16e,,,Partitur / Klavierauszug,,,x,,,,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,830,,,,,,,No. 7. Chor der Unsichtbaren,"MCh (TTBB), Orch (Fl, Ob, 2 Klar in A, EHr, Fg, 4 Hr in E, Trp in E, Tpos, Bpos, Tb, Hrf, Pk, Vl, Vla, Vlc, Kb) | MCh (TTBB), Kl",Andante con moto ma molto tranquillo,,Deutsch,Der Menschen Vorsicht irret in Nacht umher,,,,,,,,,,,,,,,,,,,,,,,"Die vorgenommenen Änderungen sind von den wenigen neu komponierten Chorstimmen nicht substantiell zu nennen. 
- S. 159: Der Klavierauszug ist überklebt, um eine Ossia-Stimme mit den Violinstimmen hinzuzufügen. Liszt notiert dazu: ""Bei diesem Chor soll die Violin Figur in den 3 ersten Takten auf einer oberen Zeile angemerkt werden (in kleinen Noten"" (schwarze Tinte).
- S. 164-168: Von Takt 4 auf Seite 164 bis zum letzten Takt auf Seite 168 ist die Harfe überklebt und leicht verändert neu geschrieben.
- S. 169: In Takt 1-2 sind Posaunen und Tuba mit zwei Leertakten überklebt.
- S. 170: In Takt 2-3 sind die Chorstimmen überklebt und neu komponiert.
- S. 171-172: Vom letzten Takt auf Seite 171 bis zum ersten Takt auf Seite 172 sind die Chorstimmen überklebt und neu komponiert.
- S. 173-175: Von Takt 7 auf Seite 173 bis Takt 2 auf Seite 175 ist die Harfe überklebt und leicht verändert neu geschrieben. Auf Seite 174 sind in Takt 2-3 Klarinetten und Fagott überklebt und neu komponiert.",,[Prolog (gesprochen)]: Dem Unbezwinglichen zur Seite schreitet,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190806,BV,,,,,38
,,R 539c,"Chöre zu Herders ""Entfesseltem Prometheus"". Chor der Unterirdischen",D-WRgs,GSA 60/B 16e,,,Partitur / Klavierauszug,,,x,,,,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,830,,,,,,,No. 6 Chor der Unterirdischen,"MCh (TTBB), Orch (Picc, Fl, Ob, Klar in A, Fg, 4 Hr in G, Trp in F, 3 Pos, Tb, Pk, Vl, Vla, Vlc, Kb) | MCh (TTBB), Kl",Allegro moderato,,Deutsch,Weh! Gestöret ist der Toten heilige,,,,,,,,,,,,,,,,,,,,,,,"Im ""Chor der Unterirdischen"" finden sich nur minimale Korrekturen und Ergänzungen einzelner Noten (Bleistift).",,[Prolog (gesprochen)]: Trauer kann der heit're Gott,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190806,BV,,,,,39
