"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr. (R | S | E/M),"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Autor Titelei (Liszt egh.),Kopftitel,Autor Kopftitel (Liszt egh.),Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (fremder Hand),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank),Schreiber Umschlag/Titelblatt Bezug zu O,Schreiber Kopftitel Bezug zu Q,Schreiber zu AB gehörig bitte mit Information in AC kombinieren 
,,R 547 | 80 | L2,Les Aquilons (Les quatre éléments),A-Wn,Mus.Hs.43305,,Musiksammlung ÖNB,Chorpartitur,,,,,,,Les Aquilons | Paroles de J Autran,schwarze Tinte,GCh (SATB),Agitato. Très marqué et prononcé,,Französisch,Peuple orageur qui des autres sauvages,Ecrit pour [M Trotebas keine GND] | 26 Juillet 44 | Marseille F.Liszt,26 Juillet 44,1844-07-26,Marseille,4037694-1,"schwarze und rote Tinte, blauer Stift",,"3 Blatt zu 1 Bogen und 1 Einzelblatt (6 Seiten Notentext, foliiert)","Hochformat, 351 x 266 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Notation relativ sauber, mit wenigen Streichungen. Notiert sind nur die Chorstimmen. Deutlich zu erkennen ist ein zweiter Durchgang mit der roten Tinte, bei dem Liszt Dynamik (v.a. Crescendogabeln und <), Tempi und teilweise Text nachträgt. Auf dem ersten Blatt findet sich mit blauem Stift (vom Drucker ?) eine große 18 geschrieben. ","Papier des ersten Blattes leicht restauriert, ebenso der Bogen, der wieder hergestellt wurde.","Widmungsträger keine GND

Datierung: Komponiert in [Marseille 4037694-1]",https://onb.digital/result/1003DE38,DTie,,,,Franz Liszt,Franz Liszt,
,1001258621,R 627a | S 299/1 | N39/1,Isten veled,D-WRgs,GSA 60/D 51,"Ms D, 51",,Partitur,,,,,,,,,"Singst, Kl",,,Ungarisch | Deutsch,"Isten veled $ Lebewohl, auf in die Ferne",,,,,,"schwarze Tinte, blauer Stift",zS (schwarze Tinte),1 Blatt (2 Seiten Notentext),"Querformat, 199 x 332 mm, 13 Notenzeilen, handrastriert",,,,,,,,,,,,,,Der Liedtext nicht von Liszts Hand geschrieben. Auf [S. 1] fügt Liszt in den letzten zwei Takten der Singstimme mit blauem Stift Punktierungen hinzu. Die Klavierbegleitung ist gegenüber GSA 60/D 52 noch einfacher gehalten. Liszt notiert in der Klavierbegleitung im vorletzten Takt [S. 2] Fingersätze.,"Druck in HAAB (nicht EA): urn:nbn:de:gbv:32-1-10014335906

Digitalisat des Notentextes: https://haab-digital.klassik-stiftung.de/viewer/image/1488554994/5/LOG_0003/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191509,UR,,,,,Franz Liszt,
,,,nicht identifizierte Komposition in fis-Moll,A-Wn,Mus.Hs.41987,,Musiksammlung ÖNB,Partitur,,,,,,,,,Kl,,,,,Herrn | Herrn Cantor | [A. W. Gottschalg 116794526],Dresden | 12 | OCT. | 70,1870-10-12,Tiefurt,4106329-6,schwarze Tinte,zS (schwarze und sepia Tinte),"1 Blatt (1 Seite Notentext, 1 Leerseite, Briefumschlag)","Hochformat, 204 x 173 mm, 6 Notenzeilen, handrastriert",,,,,,,,,,,,Notenpapier und Briefumschlag zusammen. Beide Dokumente sind stark und mehrfach gefaltet,,"17taktiges Fragment einer unbekannten Komposition von Liszt mit schwarzer Tinte. Beiliegend ist auch der Briefumschlag mit Adressaten: ""Nord Bund | Herrn | HErrn Cantor | A. W. Gottschalg | Tieffurt | bei Weimar | Grossherzogthum Sachsen Weimar""

[Gottschalg 116794526] (schwarze Tinte)",Beschreibung von ÖNB-Webseite,"Kopftitel: Die Komposition hat keinen Titel, ich würde für ein ""Albumblatt"" plädieren

Widmung: Eher Adressat des Briefes als Widmung?

Datierung: Komponiert in [Tiefurt 4106329-6] Es handelt sich um einen Poststempel auf der Rückseite. Vorne findet sich mit ""Nord Bund"" ein weiterer Hinweis zur zeitlichen Eingrenzung (Norddeutscher Bund).",https://onb.digital/result/10042047,DTie,,,,,Franz Liszt,
,,R 642 | S 342 | K9,Le crucifix,A-Wn,Mus.Hs.42388,,Musiksammlung ÖNB,Partitur,,,,,,,Le Crufix (III),"schwarze Tinte, roter Stift","ContraA, Harm/Kl",Pas trop lent,,Französisch | Deutsch,"Vous qui pleurez, venez à ce Dieux $ 
Ihr die weint, kommt zu diesem Gott",,,,,,"schwarze Tinte, roter und blauer Stift",,"2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 333 x 247 mm, 12 Notenzeilen, handrastriert; Überklebung S. 28a, Querformat, 110 x 240 mm, 5 Notenzeilen, handrastriert",,,,2594 (?),,,,,,,,,,"Titel ist mit rotem Stift geschrieben, ebenso die erste Schicht der Paginierung, die aber mit blauem Stift überschrieben ist. Die Stimmen sind zweisprachig notiert (frz | dt) und mit ""Voix de ContrAlto"" sowie ""deutsch"" gekennzeichnet. Die Begleitung ist ""Harmonium | ou Piano | forte"". Überklebung auf S. 28 mit dem Beginn des Titels in schwarzer Tinte ""Le Crucifix"", der mit blauem Stift gestrichen ist. Zudem Hinweise mit rotem Stift: ""Vide les 26 premièrs | mesures | Page 29"". Der Notentext auf der Überklebung ist jedoch komplett mit rotem Stift gestrichen. Überklebung ist halb gelöst, darunter finden sich Rasuren und eine doch recht ähnliche Variante. Letzte Seite: Streichungen der Takte 9 und 10 im letzten System mit rotem Stift. Das Manuskript weist zudem Eintragungen mit rotem Stift auf, die auf eine Einrichtung für den Stich hindeuten (ebenso eine Plattennummer mit Bleistift auf der ersten Seite, 2594). Bogen wurde gefaltet aufbewahrt, das Papier 1999 durch W. Ruhm restauriert. ",Die dritte Fassung der Komposition beginnt in fis-Moll (pas trop lent) und endet in Fis-Dur (dolce).,"Kopftitel: die römische Ziffer mit schwarzer Tinte, Name Liszt als Autoren mit Bleistift archivarisch ergänzt",https://onb.digital/result/1003DE16,DTie,,,,Franz Liszt,Franz Liszt,
,,R 440 | S 113a | G27,Deux Légendes,A-Wn,Mus.Hs.42179,,Musiksammlung Österr. Nationalbibliothek,,,x,,,,,,,,,,,,,,,,,"schwarze und rote Tinte, blauer und roter Stift",,"13 Blatt zu 6 Bogen (Einband, Vorsatz, 23 Seiten Notentext, 3 Leerseiten, foliiert und paginiert)","Hochformat, 333 x 245 mm, 32 Notenzeilen, gedruckt",,,,,,,,,,,,Einband: 335 x 252 mm mit TItel: Franz Liszt | Légendes,,"Abschrift der Orchesterfassung der beiden Franziskuslegenden, allerdings in umgekehrter Reihenfolge.",,Titelei: Einband mit Greifen-Motiv und goldgedrucktem Titel,https://onb.digital/result/1003DDF0,DTie,,,,,Franz Liszt,
,,R 440 | S 113a | G27,San Francesco di Paolo,A-Wn,Mus.Hs.42179,,,Partitur,,,x,,,,San Francesco di Paolo | Légendes,"schwarze Tinte, blauer Stift","Orch (Picc, 2 Fl, 2 Ob, 2 Klar in A, 2 Fg, 4 Hr in E, 2 Trp in B, 2 Tpos, Bpos, Tb, Bck, Pk, Vl, Vla, Vlc, Kb)",Andante maestoso,,,,,du 23 au 29 Oct: 63. | BBBBBdBB,1863-10-23-1863-10-29,,,"schwarze und rote Tinte, blauer und roter Stift",,Blatt 1r-7r (von 13 Blatt),,,,,,,,,,,,,,,"Recht saubere Abschrift mit mehreren Korrektur- bzw. Ergänzungsdurchgängen, zunächst in roter (bordeaux) Tinte (Phrasierung, Dynamik, Korrekturen, dann mit blauem Stift (wenige Ergänzungen). Generell nur wenige Striche oder Ergänzungen auf handgezeichneten Notenzeilen. Zudem Rasuren und Ausbesserungen mit schwarzer Tinte (Bsp. Blatt 4r). Einfügung von zwei Takten, angezeigt mit blauem Stift auf Blatt 2r ""2 | Takte | mehr | Vide A | (2takte | mehr"" und ausgeführt auf Blatt 3r mit roter Tinte. Selbiges auf Blatt 2v und Blatt 3r. Nach der Generalpause überschreibt Liszt den ""Sologesang"" im Horn mit den Worten ""Charitas!"" (fehlt in der Klavierfassung). Manuskript ist mit dem Kürzel ""BBBBBdBB"" beendet.",,Kopftitel: San Francesco di Paolo - (schwarze Tinte) | Légendes (blauer Stift),https://onb.digital/result/1003DDF0,DTie,,,,Franz Liszt,Franz Liszt,
,,R 440 | S 113a | G27,San Francesco d'Assisi,A-Wn,Mus.Hs.42179,,,Partitur,,,x,,,,San Francesco d'Assisi,schwarze Tinte,"Orch (Picc, 2 Fl, 2 Ob, EHr, 2 Klar in A, 2 Fg, 2 Hr in F, 2 Hr in E, Hrf, Vl, Vla, Vlc, Kb)",Andante,,,,,,,,,"schwarze und rote Tinte, blauer und roter Stift",,Blatt 8r-13r (von 13 Blatt),,,,,,,,,,,,,,,"Ebenfalls recht saubere Abschrift mit den Spuren mehrerer Korrekturdurchgänge und Ergänzungen von Takten auf der letzten Seite (Blatt 13r) mit Verweiszeichen und Vide-Hinweisen. So 5 Takte auf Blatt 10v und 8 Takte auf Blatt 12r, die sich auf Blatt 13v finden.
Anstelle einer Datierung schreibt Liszt am Ende des Stückes mit schwarzer Tinte: ""NB. Dieses Stück soll als Vorspiel des Cantico di San Francesco (Bariton mit Orchester) | ""Altissimo, omnipotente, buono Signore"" gebraucht werden. Die Ergänzung ist mit blauem Stift hinzugesetzt. Manuskript ist mit dem Kürzel ""BBBBBdBB"" beendet.
Das letzte Blatt ist mit einem weiteren verklebt (man kann hineinschauen) und enthält eine mit rotem Stift gestrichene Abschrift (zS) eines anderen Stücks.",,,https://onb.digital/result/1003DDF0,DTie,,,,Franz Liszt,Franz Liszt,
,,R 477 | S 2 | I4,Die Legende von der Heiligen Elisabeth,A-Wn,Mus.Hs.42278,,Musiksammlung ÖNB,Partitur,Korrekturblatt,,,,,,Texte français. | Feuille de Correction,schwarze Tinte,GCh (SATB),Presto sempre alla breve,,Französisch,Dieu le veut Tout s'ement,,,,,,"schwarze und rote Tinte, blauer und roter Stift",Dr (Bleistift),"3 Blatt (5 Seiten Notentext, 1 Leerseite, foliiert)","Hochformat, 310 x 240 mm, 14 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Es handelt sich um drei Korrekturblätter zu Chören aus der Heiligen Elisabeth, allerdings mit französischem Text, wie Liszt selbst jeweils zu Beginn jeder Seite vermerkt: ""Texte français Feuille de Correction"". Die Einzelseiten sind mit Großbuchstaben (zinnoberroter Stift, A-D) versehen und die entsprechenden Korrekturen mit Seitenzahlen vermerkt (Page 71, 73, 75, 77, 94, 105, 108). Der Schluss der Blätter ist mit ""Fin"" markiert. Textkorrekturen sind mit Rasuren hergestellt, dann mit unterschiedlichem Schreibgerät angefertigt (rote Tinte, blauer Stift, schwarze Tinte). Auf Blatt 2r unten Bleistiftvermerk (vom Drucker?) ""Heil. Elisabeth"". Die Quelle wurde gefaltet aufbewahrt und weist dementsprechend eine schwarze Falte in der Mitte auf.","Die Textänderung erfolgt nur auf Blatt 1r mit anderen Farben, Tout s'ement (erstes System, rote Tinte) und Oui Dieu statt Le veut (unterstes System, blauer Stift).",,https://onb.digital/result/10010AF5,DTie,,,,Franz Liszt,Franz Liszt,
,1001258630,R 612 | S 320 | N62,Die drei Zigeuner,D-WRgs,GSA 60/D 53,Ms D 53,Liszt-Museum Weimar,Partitur,,,,,,,,,"Singst, Kl",Sehr langsam,,Deutsch,Drei Zigeuner fand ich einmal liegen an einer Weide,Fräulein [Emmy Genast 116539747] | Ihr ganz devoter Zigeuner | F. Liszt.,,,,,"schwarze Tinte, roter Stift, Bleistift",,2 Blatt (4 Seiten Notentext),"Querformat, 269 x 349 mm, 18 Notenzeilen, handrastriert, unten abgeschnitten",,,,,,,,,,,,Längs- und Querfalz,,"Auf [S. 1] befindet sich im oberen Drittel ein kleiner, roter Siegellackfleck. Die Handschrift ist auf [S. 1] recht sauber und enthält nur wenige Rasuren. Auf [S. 2] notiert Liszt im unteren, mit ""A"" markierten System eine Variante und weitere Korrekturen der Singstimme, die er komplett mit der ursprünglichen Ausarbeitung mit rotem Stift und Bleistift streicht und auf [S. 4] mit rotem Stift neu notiert. Auch auf [S. 3] notiert Liszt für einzelne Takte Varianten der Singstimme. Der gesamte Notentext enthält zahlreiche Spiel- und Tempoanweisungen.",Digitalisat Notentext: https://haab-digital.klassik-stiftung.de/viewer/image/4111825265/30/LOG_0013/,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191512,UR,,,,,Franz Liszt,
,1001258628,R 570b | S 276/1 | N12,Comment disaient-ils,D-WRgs,GSA 60/D 54,Ms D 54,Liszt-Museum Weimar,Partitur,,,,,,,,,"Singst, Kl",Très animé,,Französisch | Deutsch ,"Comment disaient-ils, avec nos nacelles $ Es frug der Männer Schar die Schöne dort am Strande ",,10 Nov.,xxxx-11-10,,,"schwarze Tinte, Bleistift",[Peter Cornelius 118522213] (Bleistift),1 Blatt (2 Seiten Notentext),"Querformat, 193 x 332 mm, 13 Notenzeilen, handrastriert, unten abgeschnitten",,,,,,,,,,,,,,"Auf [S. 1] ist über dem Notentext mit Bleistift die deutsche Übersetzung des Liedtextes von Peter Cornelius (eigenhändig?) notiert. Saubere Handschrift mit wenigen Korrekturen. Nach dem Ende des Liedes notiert Liszt für die Singstimme eine Schlusskadenz. Auf [S. 1] im untersten System und auf [S. 2] im 1. System markiert Liszt mit Bleistift einzelne Takte und notiert ""Bis"" (wiederholen) darüber. Auf [S. 2] streicht Liszt den 8. Takt komplett.",Digitalisat Notentext (Erstausgabe HAAB): https://haab-digital.klassik-stiftung.de/viewer/image/1277943958/3/LOG_0006/,"Datierung auf [S. 2], unter der Kadenz. 

""tres animé | sehr schnell""",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191513,UR,,,,,Franz Liszt,
,1001258632,"R 3b,6 | S 141,6 | A173,6",Grandes études de Paganini (Nr. 6),D-WRgs,GSA 60/I 24a,,,Partitur,Albumblatt,,,,,,,,Kl,,,,,,Weimar Année 1884.,1884-xx-xx,Weimar,4065105-8,schwarze Tinte,zS (Bleistift),"1 Blatt (1 Seite Notentext, 1 Leerseite)","Querformat, 149 x 267 mm, 4 Notenzeilen, handrastriert",,,,,"2021-xx-xx, Bassenge 2021_02, Los 2817",,,,,,,"starke Verbräunung, die Notenseite ist komplett auf eine Blankoseite geklebt",,"16 Takte der a-Moll Étude Paganinis, im zweiten Notensystem nur linke Hand notiert. Darunter mit Bleistift von fremder Hand: ""Introduction d'une étude Paganini-Liszt. | Weimar Année 1884.""",,Datierung geschrieben von zS (Bleistift) ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:484661,DTie,,,,,Franz Liszt,
,,R 128 | 464 | A37b,Beethoven Pastorale,A-Wn,Mus.Hs.42494,,Musiksammlung ÖNB,Klavierauszug,,,,,Collection des | Symphonies de | Beethoven | Partition de Piano | par F. Liszt | (no 6. Symphonie pastorale.),,,,Kl,,,,,,,,,,schwarze und braune Tinte,,"2 Blatt (1 Titelseite, 1 Seite Notentext, 2 Leerseiten, foliiert und paginiert)","Hochformat, 338 x 254 mm, 12 Notenzeilen, handrastriert, Blatt 1; Querformat, 254 x 334 mm, 6 Notenzeilen, handrastriert, Blatt 2; Überklebung S. 20a, Querformat, 80 x 313 mm, 2 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Es handelt sich um eine Einzelseite aus einer Klavierübertragung der Pastorale, 2. Satz. Liszt schreibt mit schwarzer Tinte und fügt teilweise Instrumentennamen, Phrasierungen und Dynamik mit brauner Tinte hinzu. Die mittlere Notenzeile ist mit einer sauberen Abschrift überklebt und das Papier mit Siegellack befestigt. Die ursprüngliche Variante darunter ist noch sichtbar. Das Blatt selbst weist ganz oben rechts einen weiteren Siegellackpunkt auf, da andere aber fehlen ist es unwahrscheinlich, dass es sich um eine gelöste Überklebung selbst handeln könnte.","Das Notenblatt scheint aus einem Konvolut entnommen worden zu sein, denn es trägt noch die originale Paginierung mit braunem Stift. Zudem weist es hohe Ähnlichkeiten mit den in Darmstadt gesichteten Klavierübertragungen der Beethovensymphonien V und VI auf.
Der Quelle liegt ein Brief vom 2. Juli 1976 an den ehemaligen Privatbesitzer J. A. Stargardt in Marburg bei, in dem um eine Herstellung einer Photographie zur Sicherung des ""unschätzbare[n] Kunstwerk[s]"" gebeten wird.","Titelei: Titel auf dickem, kartonartigen Einzelblatt",https://onb.digital/result/100428E8,DTie,,,,,Franz Liszt,
,,R 609a | S 297/1 | N34,Wer nie sein Brot mit Tränen aß,A-Wn,Mus.Hs.42495,,Musiksammlung ÖNB,Partitur,Korrekturblatt,,,,,,,,"Singst, Kl",Poco rinforzando,,,der kennt euch nicht Ihr himmlischen Mächte,,,,,,"schwarze Tinte, blauer Stift",[Carl Gille 117737623] (schwarze Tinte),"1 Blatt (1 Seite Notentext, 1 Leerseite, foliiert)","Hochformat, 340 x 262 mm, 14 Notenzeilen, handrastriert",,,,,,,,,,,,"Graublaues Notenpapier, an der Rückseite restauriert.",,"Es handelt sich um ein Korrekturblatt zum Goethe-Lied ""Wer nie sein Brot mit Tränen aß"", ersichtlich an den drei Abschnitten aus dem Lied, die von Liszt jeweils mit Großbuchstaben mit blauem Stift angezeigt und mit dem Verweis ""weiter Seite 26, 27, 29"" gekennzeichnet sind. Am oberen Seitenende ist mit Bleistift der Vermerk ""Gedruckt"" zu lesen, am unteren Ende bestätigt Carl Gille die Authentizität der Handschrift Liszts: ""Franz Liszts eigenhändige | Niederschrift bescheinigt | Dr. [Gille 117737623] Jena 5/11. | 96"". Das Blatt ist mehrmals gefaltet aufbewahrt worden.",,"Datierung: Dr. [Gille 117737623] aus Jena weist Echtheit von Liszts Handschrift nach, 5.11.1896",https://onb.digital/result/10042964,DTie,,,,,Franz Liszt,
,1001250198,R 531 | S 33 | J16,"Slavimo slavno, Slaveni!",D-WRgs,GSA 60/C 15,,,Partitur,,x,,,,,,,"MCh (TTBB), Org",,,,,,,,,,"schwarze Tinte, roter Stift",,"6 Blatt zu 3 Bogen (5 Seiten Notentext, 1 Seite Text, 6 Leerseiten)","Hochformat, 268 x 170 mm, 20 Notenzeilen, gedruckt; Hochformat, 207 x 135 mm, Blatt 5-6",,,,,,,,,,,,,,"Quelle setzt sich aus Arbeitsmanuskript, Skizzenmaterial und Text zusammen.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191026,BV,,,,,Franz Liszt,
,1001250198,R 531 | S 33 | J16,"Slavimo slavno, Slaveni!",D-WRgs,GSA 60/C 15,"Ms C, 15|a",,Partitur,,,x,1001250128,,,Slavimo Slavno Slaveni! | Hymne | (zur tausendjährigen Feier der heiligen | Cyrill und Metod | Apostel der Slaven) | für Männerchor componirt von F. Liszt,schwarze Tinte,"MCh (TTBB), Org",Andante maestoso,,Altslawisch,Slavimo slavno Slaveni,,Rom Juni 63.,1863-06-xx,Rom,4050471-2,"schwarze Tinte, roter Stift",,Blatt 1r-2r (von 6 Blatt),,,,,,"1863-10-12, Bedřich Smetana (La Mara 1905, 167)",,,,,,,,,"Das Autograph weist deutliche Bearbeitungen auf. Streichungen (Rötel, schwarze Tinte) und die Neukomposition der jeweils gestrichenen Takte befinden sich auf jeder Seite, daneben einige Rasuren. Zur vierten Wiederholung der Namensnennung ""Metodu"" (S. 3) schreibt Liszt unter dem Abschluss der Komposition eine alternative Vertonung, die er mit einer für ihn typische Einfügemarke und durch Fragezeichen kennzeichnet. Dabei ist nicht klar, ob es sich bei dem Fragezeichen lediglich um den Hinweis auf eine wahlweise Alternative für Aufführungen handelt, oder ob er noch nicht entschieden hatte, welche der beiden Varianten er beibehalten wollte.",,"Umfang: 2 Blatt zu 1 Bogen (3 Seiten Notentext, foliiert)
Befindet sich auf Scan 1-3 des Digitalisats von D-WRgs GSA 60/C 15.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191026,BV,,,,Franz Liszt,Franz Liszt,
,1001261132,R 381/2,"Präludium und Fuge über das Thema B.A.C.H. für Orgel, Einlagen",D-WRgs,GSA 60/M 2,,Liszt-Museum Weimar,Partitur,,,x,51060292,,,,,Org,,,,,,,,,,"schwarze Tinte, blauer Stift",,Blatt 2r-4v (von 15 Blatt),"Querformat, 267 x 343 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Das Autograph enthält die anstelle der im zweiten von Liszt bearbeiteten Exemplar des Vletter-Drucks ""Präludium und Fuge über B.A.C.H. für Org"" vorgenommenen Streichungen einzufügenden Ersetzungen. Zu Beginn jeder Ersetzung verweist Liszt auf die Seite des Drucks, auf der sie einzufügen ist, und stellt jeder Ersetzung einen Bauchstaben voran. Auf die Buchstaben wird bei den entsprechenden gestrichenen Passagen mit ""Vide ..."" verwiesen. Der mit ""C"" bezeichnete ersetzende Abschnitt enthält auch eine alternative, leichter zu spielende Ausführung. Liszt nimmt verschiedene kleinere Korrekturen und minimale Streichungen vor (schwarze Tinte, blauer Stift).",,"Titelei: Raabe (blauer Stift)
Hinweis: Einlagen (Orgel)
Umfang: 4 Blatt zu 2 Bogen (1 Titelseite, 6 Seiten Notentext, 1 Leerseite, foliiert)
Autograph zum Druck, Einlagen zur Orgel",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192471,BV,,,,,Franz Liszt,
,,R 578a | 270/1 | N14,Tre Sonetti di Petrarca. Nr. 2. Benedetto sia'l giorno. 1. Fassung,A-Wn,Mus.Hs.41951,,Musiksammlung ÖNB,Partitur,,,,,,,,,"Singst, Kl",Andante con moto,,Italienisch,"Benedetto sia'l giorno, e'l mese, l'anno",écrit pour [Salvatore | Marchesi 116760338] pour son tant affecioné et [?],Weymar 12 Decembre 1851,1851-12-12,Weimar,4065105-8,"schwarze Tinte, Bleistift, Rötel",zS (schwarze Tinte),"4 Blatt zu 2 Bogen (8 Seiten Notentext, foliiert)","Querformat, 265 x 343 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Äußerst saubere Abschrift von Liszt (mit nur einer Rasur auf Blatt 3r), wohl als Geschenkexemplar für den Widmungsträger Salvatore Marchesi intendiert. Singst hier in Quelle als ""Canto"" bezeichnet. In zwei weiteren Durchgängen fügt Liszt Dynamik, Phrasierung und Vorzeichnung mit Bleistift und im Anschluss mit Rötel ein. Die Tinte, insbesondere bei der Widmung und Datierung, ist sehr blass und recht schwer zu lesen. Die beiden Bögen wurden mit Faden zusammengeknotet, der zweite besteht im gegenwärtigen Zustand jedoch aus zwei Einzelblättern. ",Ganz zu Beginn der Quelle befindet sich eine 16 mit rotem Stift geschrieben.,Widmung: Lesart prüfen,https://onb.digital/result/100404F3,DTie,,,,,Franz Liszt,
,,R 619 | S 325 | N65,Die Fischerstocher,A-Wn,Mus.Hs.19589,,Musiksammlung ÖNB,Partitur,,,,,,,Die Fischerstochter | Lied von Franz Liszt,,"Singst, Kl",,,,Des Fischers Tochter sitzt am Strand,,,,,,"schwarze Tinte, roter Stift",[Lina Schmalhausen 117455318] (schwarze Tinte),"2 Blatt zu 1 Bogen (Einband, Vorsatz, 4 Seiten Notentext, paginiert und foliiert)","Hochformat, 343 x 267 mm, 32 Notenzeilen, handrastriert",,,,,,,,,,,,"Einband: 354 x 275 mm, schwarzer Karton",,"Das Autograph ist unvollständig, da die letzte Strophe fehlt. Zudem weist es starke Überarbeitungsspuren und eine große Zahl an Strichen auf. Die Paginierung stammt von Liszt (zinnoberroter Stift). Der Bogen wurde gefaltet aufbewahrt, in der Mitte mit einem Papierstreifen verstärkt und nachträglich zur heutigen Form gebunden.
Lina Schmalhausen schrieb den Titel der Quelle und die letzten beiden, nicht vertonten Zeilen: ""Doch was die Welle nicht erzählt - - | Die Ahnung hat's gesprochen -"" | F. Liszt - Lina"".","Identifizierung Lina Schmalhausen durch ÖNB.

Digitalisat Notentext: https://haab-digital.klassik-stiftung.de/viewer/image/4111845177/25/LOG_0013/",Kopftitel geschrieben von zS (schwarze Tinte),https://onb.digital/result/1003DD2C,DTie,,,,,Franz Liszt,
,1001258638,"R 542,3 | S 72/3 | M4",Reiterlied,D-WRgs,GSA 60/E 3,Ms E 3,,Partitur,,,,,,,,,"MCh (TTBB), Kl",Allegro eroico,,Deutsch,Die bange Nacht ist nun herum,,,,,,"schwarze Tinte, Bleistift",,"8 Blatt zu 4 Bogen (Fadenheftung, 14 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 318 x 236 mm, 14 Notenzeilen, handrastriert; Hochformat, 343 x 270 mm, 12 Notenzeilen, handrastriert, Blatt 2-7; Überklebung S. IVa, Querformat, 60 x 265 mm, 2 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Arbeitsmanuskript, das in zwei Schichten von schwarzer Tinte angefertigt wurde (erste Schicht in hellerer Tinte eher Vokalpart, zweite dunklere Schicht eher Klavierpart, Angaben zur Dynamik und Ergänzungen des gesungenen Texts in weiteren Stimmen). Enthält als dritte Schicht Korrekturen in Bleistift, darunter eine Streichung auf S. I-II, sowie eine Einklebung in der Klavierstimme auf S. IV. Paginierung mit römischen Zahlen. ",Digitalisat Notentext: https://haab-digital.klassik-stiftung.de/viewer/image/4129044958/56/LOG_0014/,"Datierung: Wohl vor Drucklegung der ersten Fassung 1843

In der ""Muttertabelle"" unter den Stichvorlagen, obwohl keine Eintragungen eines Druckers vorhanden sind. Es handelt sich wohl eher um ein relativ sauber gehaltenes Arbeitsmanuskript. ",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191727,SKol,,,,,Franz Liszt,
